Status,Monitor,Total time (ms),Status2,Description,Step Number,Date,Time,Date_Time
Unconfirmed,Vedder,"13,453",7009,Step 7 (Run reset script): Frame 'externalPage' not found.,7,4/30/2019,23:27:00,4/30/2019 23:27
Unconfirmed,Leonard,"67,008",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,23:30:00,4/30/2019 23:30
Unconfirmed,Leonard,"67,008",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,23:30:00,4/30/2019 23:30
Unconfirmed,GREEN,"59,538",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,23:34:00,4/30/2019 23:34
Unconfirmed,GREEN,"59,538",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,23:34:00,4/30/2019 23:34
Unconfirmed,WhiteUS,"46,485",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,23:38:00,4/30/2019 23:38
Unconfirmed,WhiteUS,"46,485",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,4/30/2019,23:38:00,4/30/2019 23:38
Unconfirmed,Relate8,"45,521",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,4/30/2019,23:51:00,4/30/2019 23:51
Unconfirmed,Mandell,"18,176",7009,Step 7 (Run reset script): Frame 'externalPage' not found.,7,4/30/2019,23:52:00,4/30/2019 23:52
Unconfirmed,WhiteUS,"50,139",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,0:07:00,5/1/2019 0:07
Unconfirmed,WhiteUS,"50,139",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,0:07:00,5/1/2019 0:07
Unconfirmed,WhiteUS,"33,640",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,0:35:00,5/1/2019 0:35
Unconfirmed,WhiteUS,"33,640",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,0:35:00,5/1/2019 0:35
Unconfirmed,Relate8,"103,167",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,5/1/2019,0:41:00,5/1/2019 0:41
Confirmed,Relate8,"29,967",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,5/1/2019,0:43:00,5/1/2019 0:43
Unconfirmed,Capsdales,"38,306",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,0:56:00,5/1/2019 0:56
Unconfirmed,WhiteUS,"52,283",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,1:04:00,5/1/2019 1:04
Unconfirmed,WhiteUS,"52,283",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,1:04:00,5/1/2019 1:04
Unconfirmed,Relate8,"31,240",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,5/1/2019,1:13:00,5/1/2019 1:13
Unconfirmed,WhiteUS,"41,841",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,1:33:00,5/1/2019 1:33
Unconfirmed,WhiteUS,"41,841",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,1:33:00,5/1/2019 1:33
Unconfirmed,Relate8,"85,738",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,5/1/2019,1:45:00,5/1/2019 1:45
Confirmed,Relate8,"50,681",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,5/1/2019,1:47:00,5/1/2019 1:47
Unconfirmed,Hinshroud,"40,732",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,1:56:00,5/1/2019 1:56
Unconfirmed,Hinshroud,"40,732",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,1:56:00,5/1/2019 1:56
Unconfirmed,Relate8,"45,665",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,5/1/2019,2:00:00,5/1/2019 2:00
Unconfirmed,WhiteUS,"35,011",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,2:01:00,5/1/2019 2:01
Unconfirmed,WhiteUS,"35,011",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,2:01:00,5/1/2019 2:01
Unconfirmed,RalUS1,"147,725",7005,"Step 9 (Open JE_Test_001): Element 'Test Fios,' not found.",9,5/1/2019,2:12:00,5/1/2019 2:12
Unconfirmed,ETAR,"36,451",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,2:17:00,5/1/2019 2:17
Unconfirmed,IRIC01,"6,613",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,2:23:00,5/1/2019 2:23
Confirmed,IRIC01,"11,748",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,2:25:00,5/1/2019 2:25
Unconfirmed,Relate8,"42,361",7004,Step 10 (Code and open next doc): 'destruct' not found.,10,5/1/2019,2:26:00,5/1/2019 2:26
Unconfirmed,IRIC01,"5,856",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,2:30:00,5/1/2019 2:30
Confirmed,IRIC01,"2,574",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,2:31:00,5/1/2019 2:31
Unconfirmed,IRIC01,"4,055",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,2:37:00,5/1/2019 2:37
Confirmed,IRIC01,"4,891",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,2:38:00,5/1/2019 2:38
Unconfirmed,WhiteUS,"43,021",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,2:43:00,5/1/2019 2:43
Unconfirmed,WhiteUS,"43,021",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,2:43:00,5/1/2019 2:43
Unconfirmed,WhiteUS,"65,765",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,2:58:00,5/1/2019 2:58
Unconfirmed,WhiteUS,"65,765",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,2:58:00,5/1/2019 2:58
Unconfirmed,RelateC,"7,348",7004,Step 5 (Open workspace): Element for content check 'Synthetic monitoring' not found.,5,5/1/2019,3:15:00,5/1/2019 3:15
Unconfirmed,Coonlee,"87,482",7005,"Step 9 (Open JE_Test_001): Element 'Test Fios,' not found.",9,5/1/2019,3:34:00,5/1/2019 3:34
Unconfirmed,Coonlee,"87,482",7005,"Step 9 (Open JE_Test_001): Element 'Test Fios,' not found.",9,5/1/2019,3:34:00,5/1/2019 3:34
Unconfirmed,Relate8,"82,421",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,5/1/2019,3:41:00,5/1/2019 3:41
Unconfirmed,WhiteUS,"100,941",7005,"Step 9 (Open JE_Test_001): Element 'Test Fios,' not found.",9,5/1/2019,3:49:00,5/1/2019 3:49
Unconfirmed,WhiteUS,"100,941",7005,"Step 9 (Open JE_Test_001): Element 'Test Fios,' not found.",9,5/1/2019,3:49:00,5/1/2019 3:49
Unconfirmed,RelateC,"88,023",7005,"Step 9 (Open JE_Test_001): Element 'Test Fios,' not found.",9,5/1/2019,3:54:00,5/1/2019 3:54
